2026-05-19 18:34:04 | INFO     | document.parser | DOCX解析完成: D:\HJB\navy_rag\data\uploads\1779186844_GJB.docx
2026-05-19 18:34:04 | INFO     | document.cleaner | 文本清洗完成，长度: 3342 字符
2026-05-19 18:34:09 | INFO     | document.parser | DOCX解析完成: D:\HJB\navy_rag\data\uploads\1779186849_HJB.docx
2026-05-19 18:34:09 | INFO     | document.cleaner | 文本清洗完成，长度: 2841 字符
2026-05-19 18:34:20 | INFO     | document.parser | 检测到扫描版PDF (平均0字/页)，切换OCR: D:\HJB\navy_rag\data\uploads\1779186859_ABUIABA9GAAggP-mwwYokKia2AY.pdf
2026-05-19 18:34:47 | INFO     | document.parser | PaddleOCR 初始化完成
2026-05-19 18:34:47 | WARNING  | document.parser | OCR 第1页失败: PaddleOCR.predict() got an unexpected keyword argument 'cls'
2026-05-19 18:34:47 | WARNING  | document.parser | OCR 第2页失败: PaddleOCR.predict() got an unexpected keyword argument 'cls'
2026-05-19 18:34:48 | WARNING  | document.parser | OCR 第3页失败: PaddleOCR.predict() got an unexpected keyword argument 'cls'
2026-05-19 18:34:48 | WARNING  | document.parser | OCR 第4页失败: PaddleOCR.predict() got an unexpected keyword argument 'cls'
2026-05-19 18:34:48 | WARNING  | document.parser | OCR 第5页失败: PaddleOCR.predict() got an unexpected keyword argument 'cls'
2026-05-19 18:34:49 | WARNING  | document.parser | OCR 第6页失败: PaddleOCR.predict() got an unexpected keyword argument 'cls'
2026-05-19 18:34:49 | WARNING  | document.parser | OCR 第7页失败: PaddleOCR.predict() got an unexpected keyword argument 'cls'
2026-05-19 18:34:50 | WARNING  | document.parser | OCR 第8页失败: PaddleOCR.predict() got an unexpected keyword argument 'cls'
2026-05-19 18:34:50 | WARNING  | document.parser | OCR 第9页失败: PaddleOCR.predict() got an unexpected keyword argument 'cls'
2026-05-19 18:34:50 | WARNING  | document.parser | OCR 第10页失败: PaddleOCR.predict() got an unexpected keyword argument 'cls'
2026-05-19 18:34:51 | WARNING  | document.parser | OCR 第11页失败: PaddleOCR.predict() got an unexpected keyword argument 'cls'
2026-05-19 18:34:51 | WARNING  | document.parser | OCR 第12页失败: PaddleOCR.predict() got an unexpected keyword argument 'cls'
2026-05-19 18:34:52 | WARNING  | document.parser | OCR 第13页失败: PaddleOCR.predict() got an unexpected keyword argument 'cls'
2026-05-19 18:34:52 | WARNING  | document.parser | OCR 第14页失败: PaddleOCR.predict() got an unexpected keyword argument 'cls'
2026-05-19 18:34:53 | WARNING  | document.parser | OCR 第15页失败: PaddleOCR.predict() got an unexpected keyword argument 'cls'
2026-05-19 18:34:53 | WARNING  | document.parser | OCR 第16页失败: PaddleOCR.predict() got an unexpected keyword argument 'cls'
2026-05-19 18:34:53 | WARNING  | document.parser | OCR 第17页失败: PaddleOCR.predict() got an unexpected keyword argument 'cls'
2026-05-19 18:34:54 | WARNING  | document.parser | OCR 第18页失败: PaddleOCR.predict() got an unexpected keyword argument 'cls'
2026-05-19 18:34:54 | WARNING  | document.parser | OCR 第19页失败: PaddleOCR.predict() got an unexpected keyword argument 'cls'
2026-05-19 18:34:55 | WARNING  | document.parser | OCR 第20页失败: PaddleOCR.predict() got an unexpected keyword argument 'cls'
2026-05-19 18:34:55 | WARNING  | document.parser | OCR 第21页失败: PaddleOCR.predict() got an unexpected keyword argument 'cls'
2026-05-19 18:34:55 | WARNING  | document.parser | OCR 第22页失败: PaddleOCR.predict() got an unexpected keyword argument 'cls'
2026-05-19 18:34:56 | WARNING  | document.parser | OCR 第23页失败: PaddleOCR.predict() got an unexpected keyword argument 'cls'
2026-05-19 18:34:56 | WARNING  | document.parser | OCR 第24页失败: PaddleOCR.predict() got an unexpected keyword argument 'cls'
2026-05-19 18:36:46 | INFO     | document.parser | 检测到扫描版PDF (平均0字/页)，切换OCR: D:\HJB\navy_rag\data\uploads\1779187006_ABUIABA9GAAggP-mwwYokKia2AY.pdf
2026-05-19 18:37:13 | INFO     | document.parser | PaddleOCR 初始化完成
2026-05-19 18:37:23 | INFO     | document.parser | OCR完成: D:\HJB\navy_rag\data\uploads\1779187006_ABUIABA9GAAggP-mwwYokKia2AY.pdf, 24页, 0字
2026-05-19 18:37:23 | INFO     | document.parser | DOCX解析完成: D:\HJB\navy_rag\data\uploads\1779187043_GJB.docx
2026-05-19 18:37:23 | INFO     | document.cleaner | 文本清洗完成，长度: 3342 字符
2026-05-19 18:37:23 | INFO     | document.parser | DOCX解析完成: D:\HJB\navy_rag\data\uploads\1779187043_GJB.docx
2026-05-19 18:37:23 | INFO     | document.cleaner | 文本清洗完成，长度: 3342 字符
2026-05-19 18:37:30 | INFO     | document.parser | DOCX解析完成: D:\HJB\navy_rag\data\uploads\1779187050_GJB.docx
2026-05-19 18:37:30 | INFO     | document.cleaner | 文本清洗完成，长度: 3342 字符
2026-05-19 18:37:34 | INFO     | document.parser | DOCX解析完成: D:\HJB\navy_rag\data\uploads\1779187054_HJB.docx
2026-05-19 18:37:34 | INFO     | document.cleaner | 文本清洗完成，长度: 2841 字符
2026-05-19 18:37:38 | INFO     | document.parser | 检测到扫描版PDF (平均0字/页)，切换OCR: D:\HJB\navy_rag\data\uploads\1779187058_ABUIABA9GAAggP-mwwYokKia2AY.pdf
2026-05-19 18:37:48 | INFO     | document.parser | OCR完成: D:\HJB\navy_rag\data\uploads\1779187058_ABUIABA9GAAggP-mwwYokKia2AY.pdf, 24页, 0字
2026-05-19 18:41:11 | INFO     | document.parser | PaddleOCR 初始化完成
2026-05-19 18:42:43 | INFO     | document.parser | PaddleOCR 初始化完成
2026-05-19 18:43:30 | INFO     | document.parser | PaddleOCR 初始化完成
2026-05-19 18:44:20 | INFO     | document.parser | PaddleOCR 初始化完成
2026-05-19 18:45:39 | INFO     | document.parser | PaddleOCR 初始化完成
2026-05-19 18:46:34 | INFO     | document.parser | PaddleOCR 初始化完成
2026-05-19 18:47:21 | INFO     | document.parser | PaddleOCR 初始化完成
2026-05-19 18:48:01 | INFO     | document.parser | PaddleOCR 初始化完成
2026-05-19 18:49:12 | INFO     | document.parser | PaddleOCR 初始化完成
2026-05-19 18:51:19 | INFO     | document.parser | PaddleOCR 初始化完成
2026-05-19 19:04:03 | INFO     | document.parser | 检测到扫描版PDF (平均0字/页)，切换OCR: D:\HJB\navy_rag\data\uploads\1779188642_ABUIABA9GAAggP-mwwYokKia2AY.pdf
2026-05-19 19:04:32 | INFO     | document.parser | PaddleOCR 初始化完成
2026-05-19 19:04:36 | WARNING  | document.parser | PaddleOCR 第1页失败: (Unimplemented) ConvertPirAttribute2RuntimeAttribute not support [pir::ArrayAttribute<pir::DoubleAttribute>]  (at ..\paddle\fluid\framework\new_executor\instruction\onednn\onednn_instruction.cc:118)

2026-05-19 19:04:40 | WARNING  | document.parser | PaddleOCR 第2页失败: (Unimplemented) ConvertPirAttribute2RuntimeAttribute not support [pir::ArrayAttribute<pir::DoubleAttribute>]  (at ..\paddle\fluid\framework\new_executor\instruction\onednn\onednn_instruction.cc:118)

2026-05-19 19:04:43 | WARNING  | document.parser | PaddleOCR 第3页失败: (Unimplemented) ConvertPirAttribute2RuntimeAttribute not support [pir::ArrayAttribute<pir::DoubleAttribute>]  (at ..\paddle\fluid\framework\new_executor\instruction\onednn\onednn_instruction.cc:118)

